fold,rmspe,rmse,mae,mape
1,0.12258094220196848,980.7906591352851,669.2519029731504,9.248171205038151
2,0.13870234394682013,956.2493899574188,664.3428210212206,19.744305265036974
3,0.11535826016372455,859.8686219478805,566.1983029959684,8.397004960479709
